"FeatureName","ControlID","Description","ControlSeverity","IsBaselineControl","IsPreviewBaselineControl","Rationale","Recommendation","Automated","SupportsAutoFix","Tags"
"StreamAnalytics","Azure_StreamAnalytics_BCDR_Backup_Job_Queries","Backup must be planned for Stream Analytics job queries.","Moderate","No","No","Stream Analytics does not offer features to cover backup/disaster recovery out-of-the-box. As a result, for critical Stream Analytics queries, a team must have adequate backups of the data.","Ensure the queries in the Stream Analytics Job has been backed up from a BC-DR standpoint.","No","No","SDL, TCP, Manual, BCDR, StreamAnalytics"
"StreamAnalytics","Azure_StreamAnalytics_Audit_Issue_Alert_Runtime_Errors_Failed_Functions","Alert rules must be configured for Runtime Errors and Failed Functions","Important","No","No","Using alert rules, one can ensure high availability of important/critical services by monitoring jobs and getting alerts for runtime errors and job failures.","To setup alert rule for 'Failed Function Requests' and 'Runtime Errors' events: (1) Go to Stream Analytics service -> 'Alerts' -> 'New alert rule' -> 'Add condition' (2) Select Signal type as 'Metrics' -> Select 'Failed Function Requests'/'Runtime Errors' -> Select a. Operator =  'Greater Than' b. Aggregation type = 'Total' c. Threshold value = '0' and d. Aggregation granularity = '5 minute' (3) Select an existing Action Group or create a new one of type 'Email/SMS/Push/Voice'. Select 'Email' option and specify the email id.","Yes","No","SDL, TCP, Automated, Audit, StreamAnalytics"
"StreamAnalytics","Azure_StreamAnalytics_BCDR_Configure_Paired_Region","Paired Regions should be configured for disaster recovery","Low","No","No","Paired namespaces help maintain consistent availability of a Stream Analytics based solution in case of an outage (e.g. throttling, storage issue, subsystem failure) in the primary region.","Critical jobs of Stream Analytics should be deployed to both paired regions. In addition to Stream Analytics internal monitoring capabilities, customers are also advised to monitor the jobs. If a break is identified to be a result of the Stream Analytics service update, escalate appropriately and fail over any downstream consumers to the healthy job output. Escalation to support will prevent the paired region from being affected by the new deployment and maintain the integrity of the paired jobs. Refer: https://docs.microsoft.com/en-us/azure/stream-analytics/stream-analytics-job-reliability","No","No","SDL, Best Practice, Manual, BCDR, StreamAnalytics"
"AppService","Azure_AppService_AuthZ_Grant_Min_RBAC_Access","All users/identities must be granted minimum required permissions using Role Based Access Control (RBAC)","Moderate","No","No","Granting minimum access by leveraging RBAC feature ensures that users are granted just enough permissions to perform their tasks. This minimizes exposure of the resources in case of user/service account compromise.","Remove any excessive privileges granted on the App Service. Run command: Remove-AzRoleAssignment -SignInName '<SignInName>' -Scope '<Scope>' RoleDefinitionName '<RoleDefinitionName>'. Run 'Get-Help Remove-AzRoleAssignment -full' for more help.","Yes","No","SDL, TCP, Automated, AuthZ, RBAC, AppService, FunctionApp"
"AppService","Azure_AppService_DP_Use_CNAME_With_SSL","Custom domain with SSL binding must be configured for App Service","Moderate","No","No","Use of custom domain protects a web application from common attacks such as phishing, session hijacking and other DNS-related attacks.","Go to Azure Portal --> your App Service --> Settings --> Custom Domains and follow the steps mentioned to configure a custom domain. Run command 'New-AzWebAppSSLBinding' to enable the SSL binding for your custom domain. Run 'Get-Help New-AzWebAppSSLBinding -full' for more help.","Yes","No","SDL, TCP, Automated, DP, AppService, FunctionApp"
"AppService","Azure_AppService_AuthN_Use_AAD_for_Client_AuthN","App Service must authenticate users using Azure Active Directory backed credentials","Important","Yes","No","Using the native enterprise directory for authentication ensures that there is a built-in high level of assurance in the user identity established for subsequent access control.All Enterprise subscriptions are automatically associated with their enterprise directory (xxx.onmicrosoft.com) and users in the native directory are trusted for authentication to enterprise subscriptions.","Go to Azure Portal --> your App Service --> Settings --> Authentication/Authorization --> turn on 'App Service Authentication' --> Click on 'Azure Active Directory' under Authentication Providers to configure the AAD authentication. There will be a list of options to choose from under 'Action to take when request is not authenticated'. Please make sure that this value is not set to 'Allow Anonymous requests (no action)'. Note: If you are implementing this control via code, then you can attest to the same and mark this as passed. Note: In case of Functions apps, AAD authentication is required only for 'Http Trigger' functions.","Yes","No","SDL, TCP, Automated, AuthN, OwnerAccess, AppService, FunctionApp"
"AppService","Azure_AppService_Deploy_Dont_Use_Publish_Profiles","Publish profile credentials must not be used for App Service deployment","Important","No","No","Publish profile of App Services contains deployment and FTP credentials. There are 2 risks with this. First, the credentials can get easily leaked during the various workflows involving the publish profile. Secondly, use of public profiles weakens auditability of deployment actions.","No predefined role should be present in the App Service and all the custom roles must have all 'publishxml' operations added as the Non Actions, e.g. 'microsoft.web/sites/publishxml/read'. Refer https://docs.microsoft.com/en-us/azure/app-service/faq-deployment#i-am-just-getting-started-with-app-service-web-apps-how-do-i-publish-my-code for exploring ways to securely deploy app service.","No","No","SDL, TCP, Manual, Deploy, AppService, FunctionApp"
"AppService","Azure_AppService_AuthZ_Trigger_Url_AuthN","Trigger URL for the App Service Web Job must require authentication","Important","No","No","Scheduled WebJobs can be triggered by specific scheduled time or by triggered URL. WebJob triggered URL can be authenticated by AAD authentication (bearer token) or by App Services deployment credentials. Since its not recommended to use publish profiles, WebJob triggered URL must be authenticated by AAD authentication.","Use bearer tokens and AAD-based authentication to in the trigger.","No","No","SDL, Information, Manual, AuthZ, AppService, FunctionApp"
"AppService","Azure_AppService_DP_Encrypt_In_Transit_Webhook","The webhook used for a Web Job must encrypt sensitive data in transit","Important","No","No","Use of HTTPS ensures server/service authentication and protects data in transit from network layer man-in-the-middle, eavesdropping, session-hijacking attacks.","Encryption in transit in the context of webhooks can be achieved by using HTTPS URLs.","No","No","SDL, Information, Manual, DP, AppService, FunctionApp"
"AppService","Azure_AppService_DP_Store_Secrets_in_Key_Vault","All App Service secrets should be stored in Key Vault","Moderate","No","No","Keeping secrets such as DB connection strings, passwords, keys, etc. in clear text can lead to easy compromise at various avenues during an application's lifecycle. Storing them in a key vault ensures that they are protected at rest.","Refer https://azure.microsoft.com/en-in/documentation/articles/key-vault-get-started/ for configuring Key Vault and storing secrets.","No","No","SDL, Best Practice, Manual, DP, AppService, FunctionApp"
"AppService","Azure_AppService_Deploy_Use_Notification_Hub","App Service should use Notification Hub for push notification (instead of directly using Push Notification Service)","Moderate","No","No","Notification Hub provides a better mechanism to manage the keys related Push Notification Systems (PNS).","Refer https://docs.microsoft.com/en-us/azure/notification-hubs/ for details on configuring Notification Hub for push notifications.","No","No","SDL, Best Practice, Manual, Deploy, AppService, FunctionApp"
"AppService","Azure_AppService_Config_Disable_Remote_Debugging","Remote debugging must be turned off for App Service","Important","Yes","No","Remote debugging requires inbound ports to be opened on App Service. These ports become easy targets for compromise from various internet based attacks.","Go to Azure Portal --> your App Service --> Settings --> Application Settings --> Remote Debugging --> Click on 'OFF'.","Yes","No","SDL, TCP, Automated, Config, AppService, FunctionApp"
"AppService","Azure_AppService_Config_Disable_Web_Sockets","Web Sockets should be disabled for App Service","Important","No","Yes","WebSockets protocol (WS) is vulnerable to different types of security attacks. Usage of Web Sockets with in web applications has to be carefully reviewed.","Run command 'Set-AzWebApp -Name '<WebAppName>' -ResourceGroupName '<RGName>' -WebSocketsEnabled $false'. Run 'Get-Help Set-AzWebApp -full' for more help. Refer: https://github.com/OWASP/CheatSheetSeries/blob/master/cheatsheets/HTML5_Security_Cheat_Sheet.md#websockets","Yes","Yes","SDL, Best Practice, Automated, Config, AppService, FunctionApp"
"AppService","Azure_AppService_BCDR_Use_AlwaysOn","'Always On' should be configured for App Service","Moderate","No","No","By default, websites are unloaded if they have been idle for some period of time. However, this may not be ideal for 'high availability' requirements. Configuring 'Always On' can help prevent app services from getting timed out.","Go to Azure Portal --> your App Service --> Settings --> Application Settings --> Always On --> Click on 'ON'.","Yes","No","SDL, Best Practice, Automated, BCDR, AppService"
"AppService","Azure_AppService_Deploy_Use_Latest_Version","The latest version of .NET framework version should be used for App Service","Low","No","No","Running on older .Net versions could mean you are not using latest security classes. Usage of such old classes and types can make your application vulnerable.","Run command 'Set-AzWebApp -Name '<WebAppName>' -ResourceGroupName '<RGName>' -NetFrameworkVersion 'v4.7''. Run 'Get-Help Set-AzWebApp -full' for more help.","Yes","Yes","SDL, Best Practice, Automated, Deploy, AppService, FunctionApp"
"AppService","Azure_AppService_Deploy_Use_ARM_Template","Deployment of App Service should be done using ARM template","Moderate","No","No","Deployment using ARM template is more secure than using publish profiles. This is because the former uses user/SPN credentials which can be protected better than publish profiles and provide a better audit trail of deployment activity.","Use an ARM Template to ensure fully repeatable and secured configuration of a deployment. Refer https://azure.microsoft.com/en-gb/resources/templates/ to get sample quickstart templates.","No","No","SDL, Best Practice, Manual, Deploy, AppService, FunctionApp"
"AppService","Azure_AppService_BCDR_Use_Multiple_Instances","App Service must be deployed on a minimum of two instances to ensure availability","Moderate","No","No","App Service deployed on multiple instances ensures that the App Service remains available even if an instance is down.","Run command 'Set-AzAppServicePlan -Name '<AppServicePlanName>' -ResourceGroupName '<RGName>' -NumberofWorkers '<NumberofInstances>''. Run 'Get-Help Set-AzAppServicePlan -full' for more help.","Yes","Yes","SDL, TCP, Automated, BCDR, AppService"
"AppService","Azure_AppService_BCDR_Use_App_Backup","Backup feature must be configured to backup data for App Service","Moderate","No","No","Enabling backup on App Service ensures that there is always a previous snapshot of App Service data that can be leveraged towards recovery scenarios.","Run command 'Edit-AzWebAppBackupConfiguration -FrequencyInterval '1' -FrequencyUnit 'Day' -RetentionPeriodInDays '<0 or 365>' -StartTime '<TimeLessThanOrEqualToCurrentTime>' -Name '<WebAppName>' -ResourceGroupName '<RGName>' -StorageAccountUrl '<StorageAccountUrl>' -KeepAtLeastOneBackup'. Run 'Get-Help Edit-AzWebAppBackupConfiguration -full' for more help.","Yes","No","SDL, Best Practice, Automated, BCDR, OwnerAccess, AppService"
"AppService","Azure_AppService_Audit_Enable_Logging_and_Monitoring","Auditing and Monitoring must be enabled for App Service","Moderate","No","No","Auditing enables log collection of important system events pertinent to security. Regular monitoring of audit logs can help to detect any suspicious and malicious activity early and respond in a timely manner.","Run command 'Set-AzWebApp -Name '<WebAppName>' -ResourceGroupName '<RGName>' -DetailedErrorLoggingEnabled $true -HttpLoggingEnabled $true -RequestTracingEnabled $true'. Run 'Get-Help Set-AzWebApp -full' for more help.","Yes","Yes","SDL, TCP, Automated, Audit, AppService, FunctionApp"
"AppService","Azure_AppService_BCDR_Configure_Auto_Healing","Auto healing should be configured for App Service","Moderate","No","No","With the use of Auto-Healing, a website can automatically recover from long running/blocked states. Auto-Healing enables automatic recycling of the worker process hosting your web application based on certain events. E.g. 1. When request count breaches a certain limit 2. When requests are running slower that expected 3. When an unexpected http status code is received X number of times 4. When the process consumes more than expected memory","Refer https://azure.microsoft.com/en-in/blog/auto-healing-windows-azure-web-sites/ for details on configuring auto healing.","No","No","SDL, Best Practice, Manual, BCDR, AppService"
"AppService","Azure_AppService_DP_Dont_Allow_HTTP_Access","App Service must only be accessible over HTTPS","Important","Yes","No","Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.","Run command 'Set-AzWebApp -Name '<WebAppName>' -ResourceGroupName '<RGName>' -HttpsOnly $true. Run 'Get-Help Set-AzWebApp -full' for more help.","Yes","Yes","SDL, TCP, Automated, DP, AppService, FunctionApp"
"AppService","Azure_AppService_DP_Website_Load_Certificates_Not_All","WEBSITE_LOAD_CERTIFICATES parameter must not be set to '*' (i.e. all) for App Service","Important","No","No","Using '*' for this parameter means that all certificates will get uploaded to the VM running the website. This will most likely lead to abuse of the principle of least privilege as it is unlikely that the site needs access to all certificates at runtime.","Go to Azure Portal --> your App Service --> Settings --> Application Settings --> App Settings --> Check for 'WEBSITE_LOAD_CERTIFICATES' key and make sure that value is not set to '*'. Instead choose the specific certificate that is required by the App Service. Refer https://msftplayground.com/2016/11/using-certificates-azure-app-services/ for more details.","Yes","No","SDL, TCP, Automated, DP, AppService, FunctionApp, OwnerAccess"
"AppService","Azure_AppService_DP_Configure_Rotate_Keys_Fn","Keys should be renewed after a regular interval","Moderate","No","No","Periodic key/password rotation is a good security hygiene practice as, over time, it minimizes the likelihood of data loss/compromise which can arise from key theft/brute forcing/recovery attacks.","Refer https://docs.microsoft.com/en-us/azure/azure-functions/functions-bindings-http-webhook#authorization-keys for details on Host keys in Functions app.","No","No","SDL, TCP, Manual, DP, FunctionApp"
"AppService","Azure_AppService_DP_Dont_Share_HostKeys_Fn","Host key access should not be shared with individual clients","Moderate","No","No","Host Keys grant full access to all the functions within a function app. Not sharing this key with individual clients ensures that clients are granted just enough permissions to invoke a particular function","Refer https://docs.microsoft.com/en-us/azure/azure-functions/functions-bindings-http-webhook#authorization-keys for details on Host keys in Functions app.","No","No","SDL, TCP, Manual, DP, FunctionApp"
"AppService","Azure_AppService_Authz_Use_Function_Authorization_level_Fn","Authorization level for HTTP Trigger function in a function app should be set to 'Function'","Moderate","No","No","Use 'Function' authorization level to ensure that users with minimum of function keys should only be able to invoke the function. This is in accordance with the principle of least privilege.","Go to Azure Portal --> your Functions App --> your HTTP Trigger Function --> Integrate --> Change Authorization level.","Yes","No","SDL, TCP, Automated, Config, AuthZ, OwnerAccess, FunctionApp"
"AppService","Azure_AppService_Configure_EditMode_ReadOnly_Fn","Functions app edit mode should be set to Read Only","Moderate","No","No","Using 'Read Only' mode ensures that source code is changes come in via a CICD pipeline and not directly through portal. This ensures that code changes are properly audited.","Go to Azure Portal --> your Functions App --> Functions app settings --> Function app edit mode --> Click on 'Read Only'.","Yes","No","SDL, TCP, Automated, Config, FunctionApp"
"AppService","Azure_AppService_DP_Use_Individual_FunctionKeys_Fn","Different functions keys must be generated and shared with individual clients.","Moderate","No","No","Different function keys for individual clients promotes separation of concerns. It also makes revocation easier to manage in the event of a compromise of one client.","Go to Azure Portal --> your Functions App --> your Function --> Manage --> Add New Function Key.","No","No","SDL, TCP, Manual, DP, FunctionApp"
"AppService","Azure_AppService_DP_Restrict_CORS_Access","Ensure that CORS access is granted to a limited set of trusted origins.","Moderate","No","No","CORS enables applications running under one domain to access a resource under another domain. Using '*' (allow all) for CORS setting means that an application running under any domain can have access to your application's resources and data. Restricting allowed origins to the specific set that needs access aligns with the principle of least privilege.","Go to Azure Portal --> your App Service --> API --> CORS --> Provide the specific domain names that should be allowed to make cross-origin calls. Note: No action is needed if you are not using CORS for your app.","Yes","No","SDL, TCP, Automated, DP, AppService, FunctionApp, OwnerAccess"
"AppService","Azure_AppService_Configure_Important_Alerts","Alerts should be configured to track unauthorized access attempts for the AppService.","Moderate","No","No","Alert rules for unauthorized requests enable you to detect any suspicious and malicious activity early enough.","Go to Azure Portal --> your App Service --> Monitoring --> Alerts --> Add Alert. Set alert on metrics with name 'Http 403'(unauthorized response) and 'Http 401'(forbidden response).","No","No","SDL, TCP, Config, AppService, Manual"
"AppService","Azure_AppService_AuthN_Use_Managed_Service_Identity","Use Managed Service Identity (MSI) for accessing other AAD-protected resources from the app service.","Moderate","No","No","Managed Service Identity (MSI) allows your app to easily access other AAD-protected resources such as Azure Key Vault. The identity is managed by the Azure platform and eliminates the need to provision/manage/rotate any secrets thus reducing the overall risk. ","Go to Azure Portal --> your App Service --> Settings --> Identity --> System assigned --> ON","Yes","No","SDL, TCP, Automated, Config, AppService, FunctionApp, OwnerAccess"
"AppService","Azure_AppService_DP_Dont_Allow_HTTP_Access_Fn","Function App must only be accessible over HTTPS","Important","No","Yes","Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.","Run command 'Set-AzResource -ResourceName '<WebAppName>' -ResourceGroupName '<RGName>' -ResourceType 'Microsoft.Web/sites' -Properties @{httpsOnly='true'} -Force '. Run 'Get-Help Set-AzResource -full' for more help. Note:'HttpsOnly' is required only for 'Http Trigger' functions.","Yes","No","SDL, TCP, Automated, DP, OwnerAccess, FunctionApp"
"Automation","Azure_Automation_AuthZ_Grant_Min_RBAC_Access","All users/identities must be granted minimum required permissions using Role Based Access Control (RBAC)","Moderate","No","No","Granting minimum access by leveraging RBAC feature ensures that users are granted just enough permissions to perform their tasks. This minimizes exposure of the resources in case of user/service account compromise.","Remove any excessive privileges granted on the Automation account. Run command Remove-AzRoleAssignment -SignInName '{signInName}' -Scope '{scope}' -RoleDefinitionName '{role definition name}'. Run 'Get-Help Remove-AzRoleAssignment -full' for more help. Assign 'Automation Operator' RBAC role to members who need to start/stop/suspend/resume jobs. Refer: https://docs.microsoft.com/en-us/azure/automation/automation-role-based-access-control, https://docs.microsoft.com/en-us/azure/active-directory/role-based-access-control-manage-access-powershell","Yes","No","SDL, TCP, Automated, AuthZ, RBAC, Automation"
"Automation","Azure_Automation_DP_Review_Webhook_Usage","Webhooks should not be used for runbooks that perform highly sensitive functions","Moderate","No","No","If webhook URL is inadequately protected or gets compromised, the runbook can be triggered by unauthorized users.","Remove webhook(s) if not required. Run command Remove-AzAutomationWebhook -AutomationAccountName '{AutomationAccountName}' -Name '{WebhookName}' -ResourceGroupName '{ResourceGroupName}'","Yes","No","SDL, TCP, Automated, DP, Automation"
"Automation","Azure_Automation_DP_Minimal_Webhook_Validity","Webhook URL must have a shorter validity period (<= 60 days) to prevent malicious access","Moderate","No","No","If webhook URL gets compromised, runbook can be triggered by unauthorized users. Minimizing the validity period of the trigger URL ensures that the window of time available to an attacker in the event of compromise is minimized.","Change the webhook expiry date by navigating to Azure Portal --> Your Automation account --> Your runbook --> Webhooks --> Your webhook --> Edit 'Expiration' field --> Save","Yes","No","SDL, TCP, Automated, DP, Automation"
"Automation","Azure_Automation_DP_Use_Encrypted_Variables","Encryption of Automation account variable assets must be enabled when storing sensitive data","Important","No","Yes","Encrypted variables are stored securely by the Azure platform. Moreover, their values cannot be retrieved from the Get-AzAutomationVariable cmdlet that ships as part of the Azure PowerShell module.","Encrypt variable if it stores sensitive data. Create a new encrypted copy of each unencrypted variable in the automation account and delete the unencrypted variables later. Run command 'New-AzAutomationVariable -AutomationAccountName '{AutomationAccountName}' -Name '{VariableName}' -Encrypted $true -Value '{Value} -ResourceGroupName '{ResourceGroupName}' and 'Remove-AzAutomationVariable -AutomationAccountName '{AutomationAccountName}' -Name '{VariableName}' -ResourceGroupName '{ResourceGroupName}'","Yes","No","SDL, TCP, Automated, DP, Automation"
"Automation","Azure_Automation_DP_Use_Secure_Assets","Never hard-code secure information in your runbook, instead use Automation account assets (Credentials, encrypted variables etc.)","Important","No","No","Automation account assets are encrypted and stored in the Azure Automation using a unique key that is generated for each automation account.","For detailed information about assets refer: https://docs.microsoft.com/en-us/azure/automation/automation-certificates, https://docs.microsoft.com/en-us/azure/automation/automation-connections, https://docs.microsoft.com/en-us/azure/automation/automation-credentials, https://docs.microsoft.com/en-us/azure/automation/automation-variables","No","No","SDL, TCP, DP, Manual, Automation"
"Automation","Azure_Automation_DP_Rotate_Account_Keys","Automation account keys should be rotated periodically as per the company standards","Moderate","No","No","Periodic key/password rotation is a good security hygiene practice as, over time, it minimizes the likelihood of data loss/compromise which can arise from key theft/brute forcing/recovery attacks.","Run command New-AzAutomationKey -AutomationAccountName '{AutomationAccountName}' -KeyType '{Primary/Secondary}' -ResourceGroupName '{ResourceGroupName}' to rotate keys","No","No","SDL, TCP, DP, Best Practice, Manual, Automation"
"Automation","Azure_Automation_DP_Rotate_RunAsAccount_Credentials","Credentials for Run As Account should be deleted and recreated at regular intervals to make sure that Service Principal connection credentials are not compromised","Moderate","No","No","Periodic key/password rotation is a good security hygiene practice as, over time, it minimizes the likelihood of data loss/compromise which can arise from key theft/brute forcing/recovery attacks.","Remove existing certificate and connection using command Remove-AzAutomationCertificate and Remove-AzAutomationConnection. Create new certificate and connection using commands New-AzAutomationCertificate and New-AzAutomationConnection. Refer : https://docs.microsoft.com/en-us/azure/automation/automation-create-runas-account","No","No","SDL, Best Practice, Manual, DP, Automation"
"Automation","Azure_Automation_DP_Automation_Asset_Protection","Automation accounts for which Hybrid Runbook Worker feature is enabled must only include assets required for the hybrid runbook functioning.","Moderate","No","No","Hybrid worker machines running the MMA (Microsoft Monitoring Agent) have unrestricted access to all assets in the Automation. Limiting these assets to only those required for the hybrid worker functioning eliminates the likelihood of compromise of a broader set of assets.","Create dedicated Automation account for Hybrid Worker Groups","No","No","SDL, TCP, Manual, DP, Automation"
"Automation","Azure_Automation_AuthN_Dedicated_SP_For_Runbook","Runbook authentication must be done using dedicated service principal instead of AD User account ","Moderate","No","No","Using a 'user' account should be avoided because, in general, a user account will likely have broader set of privileges to enterprise assets. Using a dedicated SPN ensures that the SPN does not have permissions beyond the ones specifically granted for the automation job to function.","Refer : https://docs.microsoft.com/en-us/azure/automation/automation-create-runas-account","No","No","SDL, Manual, TCP, AuthN, Automation"
"Automation","Azure_Automation_Audit_Configure_Log_Analytics","Configure Log Analytics to get greater operational visibility of your Automation jobs","Moderate","No","No","Using Log Analytics, one can ensure high availability of important/critical services by monitoring jobs and getting alerts for job failures.","You can change the diagnostic settings from the Azure Portal by following the steps given here: https://docs.microsoft.com/en-us/azure/monitoring-and-diagnostics/monitoring-archive-diagnostic-logs#archive-diagnostic-logs-using-the-portal","Yes","No","SDL, Best Practice, Audit, Manual, Automation"
"APIConnection","Azure_APIConnection_AuthN_Connectors_Use_AAD","Logic App connectors must use AAD-based authentication wherever possible","Important","No","No","Using the native enterprise directory for authentication ensures that there is a built-in high level of assurance in the user identity established for subsequent access control. All Enterprise subscriptions are automatically associated with their enterprise directory (xxx.onmicrosoft.com) and users in the native directory are trusted for authentication to enterprise subscriptions.","For HTTP based connectors, refer: https://docs.microsoft.com/en-us/azure/connectors/connectors-native-http#azure-active-directory-oauth-authentication. For other connectors you must manually verify that AAD authentication is used for connectors that support it.","Yes","No","SDL, TCP, Automated, AuthN"
"APIConnection","Azure_APIConnection_DP_Encrypt_Data_In_Transit","Data transit across connectors must use encrypted channel","Important","No","No","Use of HTTPS ensures server/service authentication and protects data in transit from network layer man-in-the-middle, eavesdropping, session-hijacking attacks.","Use HTTPS URI in HTTP-based connectors. For connectors which are HTTP-based, use HTTPS URLs. For other connectors you must manually verify that encrypted connections are used by the connector protocol.","Yes","No","SDL, TCP, Automated, DP"
